transaction_id,date,part_number,transaction_type,qty
73,2024-01-04,P0105,receipt,126
74,2024-01-04,P0260,issue,3
75,2024-01-04,P0199,issue,4
76,2024-01-04,P0370,issue,4
77,2024-01-05,P0332,issue,7
78,2024-01-05,P0268,issue,6
79,2024-01-05,P0384,receipt,147
80,2024-01-05,P0453,issue,1
81,2024-01-05,P0352,issue,7
82,2024-01-05,P0305,receipt,239
83,2024-01-05,P0316,issue,2
84,2024-01-05,P0414,issue,3
85,2024-01-05,P0232,receipt,149
86,2024-01-05,P0054,receipt,165
87,2024-01-05,P0212,receipt,191
88,2024-01-05,P0210,receipt,97
89,2024-01-05,P0212,receipt,99
90,2024-01-05,P0274,issue,4
91,2024-01-05,P0405,receipt,163
92,2024-01-05,P0294,issue,4
93,2024-01-06,P0168,issue,1
94,2024-01-06,P0029,issue,7
95,2024-01-06,P0214,issue,7
96,2024-01-06,P0115,receipt,107
97,2024-01-06,P0464,issue,1
98,2024-01-06,P0298,issue,5
99,2024-01-06,P0441,receipt,224
100,2024-01-06,P0496,issue,5
101,2024-01-06,P0243,issue,1
102,2024-01-06,P0405,issue,7
103,2024-01-06,P0222,receipt,172
104,2024-01-06,P0486,issue,7
105,2024-01-06,P0308,issue,2
106,2024-01-06,P0089,issue,2
107,2024-01-06,P0083,receipt,109
108,2024-01-06,P0393,issue,6
109,2024-01-06,P0102,issue,7
110,2024-01-06,P0149,issue,5
111,2024-01-06,P0440,issue,5
112,2024-01-06,P0187,issue,7
113,2024-01-06,P0021,issue,6
114,2024-01-07,P0427,issue,1
115,2024-01-07,P0397,issue,3
116,2024-01-07,P0276,receipt,82
117,2024-01-07,P0454,issue,5
118,2024-01-07,P0103,issue,6
119,2024-01-07,P0358,issue,6
120,2024-01-07,P0380,issue,3
121,2024-01-07,P0152,receipt,189
122,2024-01-07,P0293,issue,3
123,2024-01-07,P0467,issue,3
124,2024-01-07,P0198,issue,7
125,2024-01-07,P0429,issue,6
126,2024-01-07,P0212,issue,5
127,2024-01-07,P0113,receipt,227
128,2024-01-07,P0472,issue,1
129,2024-01-07,P0477,receipt,240
130,2024-01-07,P0352,receipt,155
131,2024-01-07,P0109,receipt,148
132,2024-01-07,P0048,receipt,138
133,2024-01-07,P0096,issue,6
134,2024-01-07,P0319,issue,1
135,2024-01-07,P0355,receipt,82
136,2024-01-07,P0340,receipt,191
137,2024-01-07,P0389,issue,4
138,2024-01-07,P0037,issue,3
139,2024-01-08,P0461,receipt,185
140,2024-01-08,P0249,issue,2
141,2024-01-08,P0432,issue,4
142,2024-01-08,P0416,issue,6
143,2024-01-08,P0476,issue,4
144,2024-01-08,P0141,issue,3
145,2024-01-08,P0385,issue,3
146,2024-01-08,P0019,issue,4
147,2024-01-08,P0097,issue,3
148,2024-01-08,P0278,issue,1
149,2024-01-08,P0040,issue,3
150,2024-01-08,P0323,receipt,115
151,2024-01-08,P0008,issue,5
152,2024-01-08,P0404,issue,7
153,2024-01-08,P0224,issue,3
154,2024-01-08,P0397,issue,7
155,2024-01-08,P0385,issue,6
156,2024-01-08,P0217,receipt,214
157,2024-01-08,P0211,issue,1
158,2024-01-08,P0499,issue,6
159,2024-01-08,P0319,issue,7
160,2024-01-08,P0208,issue,3
161,2024-01-08,P0433,issue,2
162,2024-01-08,P0217,receipt,173
163,2024-01-08,P0162,issue,4
164,2024-01-09,P0383,issue,4
165,2024-01-09,P0072,issue,6
166,2024-01-09,P0046,issue,6
167,2024-01-09,P0496,issue,1
168,2024-01-09,P0238,issue,5
169,2024-01-09,P0075,issue,7
170,2024-01-09,P0395,receipt,209
171,2024-01-09,P0213,issue,1
172,2024-01-09,P0478,issue,6
173,2024-01-09,P0401,issue,7
174,2024-01-09,P0338,issue,1
175,2024-01-09,P0236,issue,1
176,2024-01-09,P0404,issue,2
177,2024-01-09,P0059,issue,6
178,2024-01-10,P0307,issue,2
179,2024-01-10,P0443,receipt,191
180,2024-01-10,P0175,receipt,205
181,2024-01-10,P0026,receipt,133
182,2024-01-10,P0498,issue,4
183,2024-01-10,P0349,receipt,237
184,2024-01-10,P0036,receipt,220
185,2024-01-10,P0163,issue,2
186,2024-01-10,P0381,receipt,83
187,2024-01-10,P0297,issue,2
188,2024-01-10,P0412,receipt,103
189,2024-01-10,P0274,issue,3
190,2024-01-10,P0224,issue,5
191,2024-01-10,P0197,issue,4
192,2024-01-10,P0396,issue,4
193,2024-01-10,P0137,issue,4
194,2024-01-10,P0242,issue,4
195,2024-01-10,P0236,issue,4
196,2024-01-10,P0141,issue,2
197,2024-01-10,P0215,issue,3
198,2024-01-11,P0103,issue,5
199,2024-01-11,P0349,receipt,237
200,2024-01-11,P0380,issue,6
201,2024-01-11,P0024,receipt,214
202,2024-01-11,P0451,issue,5
203,2024-01-11,P0151,issue,1
204,2024-01-11,P0107,issue,3
205,2024-01-11,P0177,issue,3
206,2024-01-11,P0399,issue,3
207,2024-01-11,P0135,issue,2
208,2024-01-11,P0380,receipt,125
209,2024-01-11,P0281,issue,3
210,2024-01-11,P0105,issue,6
211,2024-01-11,P0151,issue,6
212,2024-01-11,P0151,issue,2
213,2024-01-11,P0363,issue,6
214,2024-01-11,P0185,receipt,150
215,2024-01-11,P0330,issue,4
216,2024-01-11,P0079,issue,4
217,2024-01-12,P0397,receipt,175
218,2024-01-12,P0189,receipt,196
219,2024-01-12,P0351,receipt,121
220,2024-01-12,P0257,issue,6
221,2024-01-12,P0354,issue,1
222,2024-01-12,P0142,receipt,94
223,2024-01-12,P0203,issue,7
224,2024-01-12,P0087,issue,1
225,2024-01-12,P0212,issue,7
226,2024-01-12,P0068,receipt,225
227,2024-01-12,P0203,issue,2
228,2024-01-12,P0498,issue,3
229,2024-01-12,P0444,receipt,231
230,2024-01-12,P0134,issue,6
231,2024-01-12,P0263,issue,2
232,2024-01-12,P0030,issue,6
233,2024-01-12,P0209,receipt,104
234,2024-01-13,P0356,issue,7
235,2024-01-13,P0326,issue,2
236,2024-01-13,P0247,receipt,130
237,2024-01-13,P0073,issue,1
238,2024-01-13,P0230,issue,2
239,2024-01-13,P0357,issue,7
240,2024-01-13,P0394,issue,7
241,2024-01-13,P0451,issue,2
242,2024-01-13,P0248,issue,6
243,2024-01-13,P0194,issue,3
244,2024-01-13,P0378,issue,7
245,2024-01-13,P0224,issue,2
246,2024-01-13,P0318,issue,5
247,2024-01-13,P0153,issue,4
248,2024-01-13,P0034,receipt,110
249,2024-01-13,P0402,issue,2
250,2024-01-13,P0444,issue,2
251,2024-01-13,P0467,issue,3
252,2024-01-13,P0065,issue,5
253,2024-01-13,P0105,issue,5
254,2024-01-13,P0257,issue,4
255,2024-01-13,P0181,issue,7
256,2024-01-13,P0275,issue,6
257,2024-01-13,P0210,issue,1
258,2024-01-13,P0004,issue,5
259,2024-01-13,P0159,issue,2
260,2024-01-13,P0465,issue,2
261,2024-01-13,P0141,issue,1
262,2024-01-14,P0191,issue,5
263,2024-01-14,P0070,issue,3
264,2024-01-14,P0323,issue,4
265,2024-01-14,P0342,issue,4
266,2024-01-14,P0126,issue,6
267,2024-01-14,P0476,receipt,214
268,2024-01-14,P0235,issue,2
269,2024-01-14,P0186,issue,5
270,2024-01-14,P0123,issue,1
271,2024-01-14,P0147,issue,6
272,2024-01-14,P0375,receipt,187
273,2024-01-14,P0025,issue,5
274,2024-01-14,P0499,receipt,241
275,2024-01-14,P0086,receipt,119
276,2024-01-14,P0009,issue,7
277,2024-01-14,P0400,issue,7
278,2024-01-14,P0169,issue,5
279,2024-01-14,P0497,receipt,133
280,2024-01-14,P0213,issue,5
281,2024-01-14,P0070,issue,5
282,2024-01-14,P0465,issue,6
283,2024-01-14,P0339,issue,3
284,2024-01-15,P0092,issue,4
285,2024-01-15,P0355,receipt,155
286,2024-01-15,P0399,issue,6
287,2024-01-15,P0314,issue,3
288,2024-01-15,P0043,issue,6
289,2024-01-15,P0049,issue,1
290,2024-01-15,P0084,issue,3
291,2024-01-15,P0121,issue,3
292,2024-01-15,P0497,issue,5
293,2024-01-15,P0211,issue,3
294,2024-01-15,P0277,issue,3
295,2024-01-15,P0096,issue,2
296,2024-01-15,P0146,issue,4
297,2024-01-15,P0257,receipt,216
298,2024-01-15,P0358,receipt,201
299,2024-01-15,P0147,issue,6
300,2024-01-15,P0175,receipt,193
301,2024-01-15,P0021,issue,7
302,2024-01-15,P0487,receipt,248
303,2024-01-15,P0022,receipt,235
304,2024-01-15,P0094,issue,7
305,2024-01-15,P0189,issue,7
306,2024-01-15,P0410,issue,2
307,2024-01-15,P0121,issue,2
308,2024-01-15,P0436,receipt,102
309,2024-01-15,P0497,issue,7
310,2024-01-15,P0186,issue,1
311,2024-01-15,P0032,issue,6
312,2024-01-15,P0034,issue,4
313,2024-01-16,P0489,issue,5
314,2024-01-16,P0431,issue,6
315,2024-01-16,P0240,issue,4
316,2024-01-16,P0030,issue,6
317,2024-01-16,P0178,issue,4
318,2024-01-16,P0463,issue,6
319,2024-01-16,P0173,receipt,219
320,2024-01-16,P0290,receipt,126
321,2024-01-16,P0215,issue,3
322,2024-01-16,P0442,issue,3
323,2024-01-16,P0317,receipt,221
324,2024-01-16,P0032,issue,5
325,2024-01-16,P0005,issue,4
326,2024-01-16,P0133,issue,6
327,2024-01-16,P0297,issue,3
328,2024-01-16,P0215,issue,6
329,2024-01-16,P0494,receipt,121
330,2024-01-16,P0240,issue,3
331,2024-01-16,P0332,issue,5
332,2024-01-16,P0223,receipt,206
333,2024-01-16,P0406,issue,2
334,2024-01-16,P0266,issue,1
335,2024-01-16,P0056,issue,1
336,2024-01-16,P0475,issue,6
337,2024-01-16,P0342,receipt,133
338,2024-01-16,P0141,receipt,188
339,2024-01-16,P0184,issue,4
340,2024-01-16,P0319,receipt,154
341,2024-01-16,P0074,issue,6
342,2024-01-16,P0092,issue,3
343,2024-01-16,P0038,issue,7
344,2024-01-17,P0303,issue,1
345,2024-01-17,P0396,receipt,140
346,2024-01-17,P0062,issue,5
347,2024-01-17,P0355,issue,3
348,2024-01-17,P0379,issue,1
349,2024-01-17,P0202,issue,2
350,2024-01-17,P0311,issue,4
351,2024-01-17,P0048,receipt,233
352,2024-01-17,P0015,receipt,173
353,2024-01-17,P0462,receipt,143
354,2024-01-17,P0046,issue,6
355,2024-01-17,P0401,issue,6
356,2024-01-17,P0297,issue,5
357,2024-01-17,P0150,issue,6
358,2024-01-17,P0420,issue,6
359,2024-01-17,P0262,issue,2
360,2024-01-17,P0340,issue,1
361,2024-01-17,P0353,issue,4
362,2024-01-17,P0165,issue,1
363,2024-01-17,P0482,issue,7
364,2024-01-17,P0027,issue,1
365,2024-01-17,P0108,issue,1
366,2024-01-17,P0049,receipt,125
367,2024-01-17,P0487,issue,4
368,2024-01-17,P0165,issue,6
369,2024-01-17,P0264,receipt,115
370,2024-01-17,P0393,issue,2
371,2024-01-17,P0448,receipt,100
372,2024-01-18,P0113,receipt,233
373,2024-01-18,P0451,receipt,229
374,2024-01-18,P0167,issue,7
375,2024-01-18,P0226,issue,2
376,2024-01-18,P0174,issue,1
377,2024-01-18,P0423,issue,5
378,2024-01-18,P0483,issue,5
379,2024-01-18,P0091,receipt,166
380,2024-01-18,P0442,receipt,110
381,2024-01-18,P0144,receipt,84
382,2024-01-18,P0263,issue,1
383,2024-01-18,P0046,issue,5
384,2024-01-18,P0047,issue,7
385,2024-01-18,P0363,issue,1
386,2024-01-18,P0066,issue,5
387,2024-01-18,P0224,receipt,122
388,2024-01-18,P0167,issue,4
389,2024-01-18,P0006,receipt,155
390,2024-01-18,P0207,issue,3
391,2024-01-19,P0020,issue,5
392,2024-01-19,P0326,issue,2
393,2024-01-19,P0368,issue,1
394,2024-01-19,P0143,issue,6
395,2024-01-19,P0495,issue,6
396,2024-01-19,P0022,issue,5
397,2024-01-19,P0233,issue,2
398,2024-01-19,P0072,issue,2
399,2024-01-19,P0281,receipt,100
400,2024-01-19,P0397,issue,4
401,2024-01-19,P0215,receipt,186
402,2024-01-19,P0314,issue,7
403,2024-01-19,P0228,issue,7
404,2024-01-19,P0345,issue,6
405,2024-01-19,P0305,issue,5
406,2024-01-19,P0195,issue,2
407,2024-01-19,P0376,issue,3
408,2024-01-19,P0098,issue,5
409,2024-01-19,P0183,issue,1
410,2024-01-19,P0218,issue,3
411,2024-01-19,P0469,issue,2
412,2024-01-19,P0381,issue,2
413,2024-01-19,P0289,receipt,113
414,2024-01-19,P0432,issue,3
415,2024-01-19,P0192,receipt,93
416,2024-01-19,P0336,receipt,209
417,2024-01-19,P0169,issue,1
418,2024-01-20,P0021,receipt,122
419,2024-01-20,P0069,issue,2
420,2024-01-20,P0098,issue,6
421,2024-01-20,P0117,issue,4
422,2024-01-20,P0070,issue,2
423,2024-01-20,P0107,issue,7
424,2024-01-20,P0470,receipt,171
425,2024-01-20,P0478,receipt,214
426,2024-01-20,P0387,issue,5
427,2024-01-20,P0137,receipt,209
428,2024-01-20,P0232,issue,3
429,2024-01-20,P0021,issue,1
430,2024-01-20,P0297,issue,1
431,2024-01-20,P0179,issue,2
432,2024-01-20,P0253,issue,5
433,2024-01-20,P0146,issue,7
434,2024-01-20,P0168,receipt,210
435,2024-01-20,P0086,issue,6
436,2024-01-20,P0343,receipt,219
437,2024-01-20,P0124,issue,2
438,2024-01-21,P0316,receipt,166
439,2024-01-21,P0051,issue,7
440,2024-01-21,P0269,receipt,236
441,2024-01-21,P0369,receipt,182
442,2024-01-21,P0280,issue,1
443,2024-01-21,P0092,issue,2
444,2024-01-21,P0358,issue,3
445,2024-01-21,P0212,issue,6
446,2024-01-21,P0143,issue,3
447,2024-01-21,P0209,issue,6
448,2024-01-21,P0088,issue,1
449,2024-01-21,P0069,issue,1
450,2024-01-21,P0005,issue,2
451,2024-01-21,P0166,receipt,176
452,2024-01-21,P0279,issue,5
453,2024-01-21,P0471,issue,2
454,2024-01-21,P0164,issue,3
455,2024-01-21,P0321,issue,3
456,2024-01-21,P0136,issue,4
457,2024-01-21,P0113,receipt,143
458,2024-01-21,P0440,receipt,238
459,2024-01-21,P0097,issue,2
460,2024-01-21,P0488,issue,7
461,2024-01-21,P0146,receipt,104
462,2024-01-21,P0198,issue,5
463,2024-01-21,P0306,issue,7
464,2024-01-21,P0134,issue,3
465,2024-01-21,P0204,issue,2
466,2024-01-21,P0447,issue,1
467,2024-01-21,P0205,receipt,156
468,2024-01-21,P0299,receipt,89
469,2024-01-21,P0204,issue,4
470,2024-01-22,P0481,receipt,205
471,2024-01-22,P0497,receipt,162
472,2024-01-22,P0300,issue,5
473,2024-01-22,P0437,issue,1
474,2024-01-22,P0226,issue,4
475,2024-01-22,P0025,issue,4
476,2024-01-22,P0428,issue,6
477,2024-01-22,P0119,issue,6
478,2024-01-22,P0188,receipt,165
479,2024-01-22,P0374,issue,1
480,2024-01-22,P0192,issue,2
481,2024-01-22,P0368,issue,5
482,2024-01-22,P0037,issue,1
483,2024-01-22,P0104,issue,7
484,2024-01-23,P0421,issue,5
485,2024-01-23,P0411,receipt,238
486,2024-01-23,P0377,issue,1
487,2024-01-23,P0402,receipt,151
488,2024-01-23,P0345,issue,6
489,2024-01-23,P0320,issue,3
490,2024-01-23,P0247,issue,5
491,2024-01-23,P0071,issue,7
492,2024-01-23,P0329,issue,3
493,2024-01-23,P0320,issue,7
494,2024-01-23,P0300,issue,6
495,2024-01-23,P0033,issue,2
496,2024-01-23,P0141,issue,5
497,2024-01-23,P0278,issue,3
498,2024-01-23,P0187,issue,1
499,2024-01-23,P0462,receipt,110
500,2024-01-23,P0087,issue,2
501,2024-01-23,P0324,receipt,173
502,2024-01-23,P0465,receipt,107
503,2024-01-23,P0417,issue,1
504,2024-01-23,P0369,receipt,153
505,2024-01-24,P0351,receipt,170
506,2024-01-24,P0148,issue,4
507,2024-01-24,P0367,issue,2
508,2024-01-24,P0454,issue,3
509,2024-01-24,P0136,issue,2
510,2024-01-24,P0115,issue,7
511,2024-01-24,P0489,issue,3
512,2024-01-24,P0115,receipt,96
513,2024-01-24,P0304,receipt,249
514,2024-01-24,P0242,issue,5
515,2024-01-24,P0136,receipt,191
516,2024-01-24,P0056,receipt,231
517,2024-01-24,P0259,issue,3
518,2024-01-24,P0390,issue,1
519,2024-01-24,P0323,issue,4
520,2024-01-24,P0047,issue,6
521,2024-01-24,P0161,issue,7
522,2024-01-24,P0086,issue,5
523,2024-01-24,P0067,issue,3
524,2024-01-25,P0117,issue,2
525,2024-01-25,P0253,receipt,138
526,2024-01-25,P0146,issue,5
527,2024-01-25,P0304,issue,3
528,2024-01-25,P0437,issue,1
529,2024-01-25,P0314,issue,5
530,2024-01-25,P0147,issue,7
531,2024-01-25,P0485,issue,4
532,2024-01-25,P0351,issue,5
533,2024-01-25,P0381,issue,5
534,2024-01-25,P0257,issue,4
535,2024-01-25,P0196,issue,2
536,2024-01-25,P0163,issue,1
537,2024-01-25,P0030,issue,2
538,2024-01-25,P0410,issue,3
539,2024-01-25,P0030,issue,3
540,2024-01-25,P0415,issue,7
541,2024-01-25,P0231,issue,7
542,2024-01-25,P0424,issue,5
543,2024-01-25,P0462,issue,2
544,2024-01-25,P0147,receipt,137
545,2024-01-25,P0006,issue,7
546,2024-01-25,P0154,issue,4
547,2024-01-25,P0471,issue,5
548,2024-01-26,P0027,receipt,147
549,2024-01-26,P0121,issue,6
550,2024-01-26,P0314,issue,7
551,2024-01-26,P0248,issue,3
552,2024-01-26,P0234,issue,2
553,2024-01-26,P0477,issue,3
554,2024-01-26,P0071,issue,5
555,2024-01-26,P0114,receipt,99
556,2024-01-26,P0315,issue,2
557,2024-01-26,P0004,issue,3
558,2024-01-26,P0237,issue,4
559,2024-01-26,P0305,issue,5
560,2024-01-26,P0021,issue,7
561,2024-01-26,P0347,receipt,197
562,2024-01-26,P0489,receipt,108
563,2024-01-26,P0278,receipt,207
564,2024-01-26,P0106,issue,6
565,2024-01-26,P0359,issue,4
566,2024-01-26,P0247,issue,2
567,2024-01-26,P0341,receipt,204
568,2024-01-26,P0299,receipt,246
569,2024-01-26,P0085,issue,7
570,2024-01-26,P0110,receipt,124
571,2024-01-26,P0215,issue,4
572,2024-01-26,P0140,issue,3
573,2024-01-26,P0148,receipt,202
574,2024-01-27,P0070,issue,7
575,2024-01-27,P0405,issue,2
576,2024-01-27,P0052,issue,1
577,2024-01-27,P0494,issue,3
578,2024-01-27,P0339,receipt,176
579,2024-01-27,P0043,issue,2
580,2024-01-27,P0226,issue,5
581,2024-01-27,P0098,receipt,91
582,2024-01-27,P0028,issue,1
583,2024-01-27,P0216,receipt,164
584,2024-01-27,P0187,issue,6
585,2024-01-27,P0160,receipt,239
586,2024-01-27,P0210,receipt,164
587,2024-01-27,P0097,issue,2
588,2024-01-27,P0447,issue,1
589,2024-01-27,P0128,issue,6
590,2024-01-27,P0242,issue,3
591,2024-01-28,P0446,issue,6
592,2024-01-28,P0089,issue,5
593,2024-01-28,P0060,issue,1
594,2024-01-28,P0421,issue,7
595,2024-01-28,P0101,issue,6
596,2024-01-28,P0458,issue,1
597,2024-01-28,P0348,issue,4
598,2024-01-28,P0478,receipt,147
599,2024-01-28,P0498,issue,6
600,2024-01-28,P0144,receipt,198
601,2024-01-28,P0372,issue,5
602,2024-01-28,P0237,issue,5
603,2024-01-28,P0276,issue,7
604,2024-01-28,P0205,issue,6
605,2024-01-28,P0414,issue,7
606,2024-01-28,P0025,issue,7
607,2024-01-28,P0255,issue,6
608,2024-01-28,P0182,issue,6
609,2024-01-28,P0154,issue,5
610,2024-01-29,P0381,receipt,240
611,2024-01-29,P0331,issue,6
612,2024-01-29,P0055,issue,2
613,2024-01-29,P0387,receipt,109
614,2024-01-29,P0123,receipt,139
615,2024-01-29,P0298,issue,3
616,2024-01-29,P0419,issue,3
617,2024-01-29,P0127,receipt,93
618,2024-01-29,P0158,issue,5
619,2024-01-29,P0057,receipt,95
620,2024-01-29,P0421,receipt,220
621,2024-01-29,P0353,issue,6
622,2024-01-29,P0039,receipt,108
623,2024-01-29,P0310,issue,3
624,2024-01-29,P0414,issue,6
625,2024-01-29,P0205,issue,7
626,2024-01-29,P0124,issue,2
627,2024-01-30,P0429,receipt,83
628,2024-01-30,P0455,issue,4
629,2024-01-30,P0050,receipt,210
630,2024-01-30,P0004,issue,2
631,2024-01-30,P0017,issue,2
632,2024-01-30,P0276,issue,5
633,2024-01-30,P0021,receipt,149
634,2024-01-30,P0028,issue,3
635,2024-01-30,P0119,receipt,163
636,2024-01-30,P0203,issue,5
637,2024-01-30,P0245,issue,5
638,2024-01-30,P0159,issue,5
639,2024-01-30,P0109,issue,2
640,2024-01-30,P0376,issue,4
641,2024-01-30,P0327,issue,3
642,2024-01-30,P0085,issue,4
643,2024-01-30,P0138,issue,7
644,2024-01-30,P0328,issue,4
645,2024-01-30,P0164,issue,2
646,2024-01-30,P0117,receipt,161
647,2024-01-31,P0351,issue,2
648,2024-01-31,P0433,issue,1
649,2024-01-31,P0431,issue,2
650,2024-01-31,P0164,issue,6
651,2024-01-31,P0273,issue,6
652,2024-01-31,P0375,issue,4
653,2024-01-31,P0190,receipt,142
654,2024-01-31,P0055,issue,5
655,2024-01-31,P0484,receipt,115
656,2024-01-31,P0324,issue,3
657,2024-01-31,P0304,receipt,246
658,2024-01-31,P0309,issue,2
659,2024-01-31,P0256,issue,6
660,2024-01-31,P0184,issue,3
661,2024-01-31,P0376,issue,2
662,2024-01-31,P0278,issue,4
663,2024-01-31,P0160,issue,3
664,2024-01-31,P0162,receipt,160
665,2024-01-31,P0332,receipt,227
666,2024-01-31,P0229,issue,4
667,2024-01-31,P0131,receipt,186
668,2024-01-31,P0250,receipt,169
669,2024-01-31,P0199,issue,6
670,2024-01-31,P0060,issue,3
671,2024-01-31,P0498,issue,1
672,2024-01-31,P0181,receipt,168
673,2024-01-31,P0245,issue,7
674,2024-01-31,P0210,issue,7
675,2024-02-01,P0122,issue,6
676,2024-02-01,P0493,issue,2
677,2024-02-01,P0410,receipt,224
678,2024-02-01,P0041,issue,3
679,2024-02-01,P0164,issue,4
680,2024-02-01,P0421,issue,3
681,2024-02-01,P0184,receipt,142
682,2024-02-01,P0108,receipt,212
683,2024-02-01,P0313,issue,3
684,2024-02-01,P0400,receipt,119
685,2024-02-01,P0254,issue,4
686,2024-02-01,P0444,receipt,111
687,2024-02-02,P0497,issue,4
688,2024-02-02,P0037,receipt,204
689,2024-02-02,P0225,issue,5
690,2024-02-02,P0069,issue,7
691,2024-02-02,P0223,issue,1
692,2024-02-02,P0012,receipt,169
693,2024-02-02,P0148,issue,5
694,2024-02-02,P0221,issue,6
695,2024-02-02,P0016,issue,4
696,2024-02-02,P0327,receipt,206
697,2024-02-02,P0035,receipt,219
698,2024-02-02,P0375,receipt,129
699,2024-02-02,P0005,receipt,180
700,2024-02-02,P0438,issue,7
701,2024-02-02,P0315,issue,3
702,2024-02-02,P0367,issue,4
703,2024-02-02,P0183,issue,4
704,2024-02-02,P0334,receipt,85
705,2024-02-02,P0127,receipt,168
706,2024-02-02,P0113,receipt,125
707,2024-02-02,P0311,receipt,248
708,2024-02-02,P0335,issue,4
709,2024-02-02,P0378,issue,2
710,2024-02-02,P0091,issue,7
711,2024-02-03,P0395,issue,3
712,2024-02-03,P0388,issue,3
713,2024-02-03,P0227,issue,3
714,2024-02-03,P0292,issue,6
715,2024-02-03,P0310,issue,4
716,2024-02-03,P0107,issue,3
717,2024-02-03,P0062,issue,5
718,2024-02-03,P0391,issue,3
719,2024-02-03,P0292,receipt,178
720,2024-02-03,P0355,issue,6
721,2024-02-03,P0323,issue,1
722,2024-02-03,P0165,issue,5
723,2024-02-03,P0148,issue,7
724,2024-02-03,P0102,issue,2
725,2024-02-03,P0121,issue,2
726,2024-02-03,P0449,receipt,136
727,2024-02-03,P0229,issue,3
728,2024-02-03,P0497,receipt,141
729,2024-02-03,P0336,issue,4
730,2024-02-04,P0282,issue,5
731,2024-02-04,P0338,issue,7
732,2024-02-04,P0178,receipt,244
733,2024-02-04,P0326,issue,7
734,2024-02-04,P0392,issue,1
735,2024-02-04,P0485,issue,7
736,2024-02-04,P0131,receipt,95
737,2024-02-04,P0471,issue,6
738,2024-02-04,P0134,issue,5
739,2024-02-04,P0230,issue,7
740,2024-02-04,P0307,issue,3
741,2024-02-04,P0465,issue,3
742,2024-02-04,P0314,receipt,176
743,2024-02-04,P0173,issue,1
744,2024-02-04,P0498,issue,5
745,2024-02-04,P0404,issue,4
746,2024-02-04,P0183,receipt,144
747,2024-02-04,P0446,issue,5
748,2024-02-04,P0292,issue,4
749,2024-02-04,P0211,issue,5
750,2024-02-04,P0400,receipt,204
751,2024-02-04,P0124,issue,2
752,2024-02-05,P0301,issue,2
753,2024-02-05,P0351,receipt,228
754,2024-02-05,P0329,receipt,101
755,2024-02-05,P0375,issue,1
756,2024-02-05,P0151,issue,4
757,2024-02-05,P0247,receipt,110
758,2024-02-05,P0017,receipt,111
759,2024-02-05,P0191,issue,1
760,2024-02-05,P0334,issue,4
761,2024-02-05,P0285,issue,6
762,2024-02-05,P0322,issue,4
763,2024-02-05,P0141,receipt,213
764,2024-02-05,P0473,receipt,234
